lsoa21cd,lsoa21nm,HEI_pca,HCI,Affordability,lisa_I,lisa_q,lisa_p,lisa_label,lisa_label_01
E01004063,Southwark 025C,0.2879930505651902,0.4588240699089918,0.3177036088017729,0.1552150741064351,3,0.352,ns,ns
E01004064,Southwark 026D,0.4998614583453256,0.4715348399422652,0.121318956729915,0.011397337964582938,1,0.474,ns,ns
E01003949,Southwark 032A,0.1413631717844879,0.4733022117521137,0.1201500004675825,3.047767035488183,3,0.001,LL,LL
E01003950,Southwark 032B,0.0978272830825045,0.4170470305195729,0.0488436684653006,1.9685152475759495,3,0.001,LL,LL
E01004000,Southwark 026A,0.4961493843742771,0.5238362244340214,0.2195112827658439,-0.08448754233502873,4,0.298,ns,ns
E01004018,Southwark 032E,0.0962188697836334,0.479074550294571,0.2008079825685241,2.7548176792035948,3,0.001,LL,LL
E01004074,Southwark 031D,0.4544780279394685,0.5048188125476543,0.7969756763580931,-0.07827190023005329,4,0.198,ns,ns
E01004017,Southwark 029C,0.0501141209135543,0.486444545178069,0.1914563324698642,2.7646084989110897,3,0.009,LL,LL
E01004072,Southwark 030E,0.5166183323479298,0.5177662171438325,0.5673926664359924,0.11666252024241161,1,0.267,ns,ns
E01003969,Southwark 017B,0.5986686894599189,0.5404303496285109,0.2067462803811732,0.4732489074683401,1,0.047,HH,ns
E01004073,Southwark 031C,0.3997638507387293,0.5126189907405982,0.6403355372055397,0.07454056807374006,3,0.243,ns,ns
E01033881,Southwark 016F,0.4972165016032158,0.4684099329519605,0.1680772072232145,0.20157154398787458,1,0.063,ns,ns
E01003989,Southwark 018C,0.5234488539703902,0.4667397784618363,0.0,0.4358752225778448,1,0.015,HH,ns
E01004057,Southwark 008B,0.5042149098892629,0.4212400360018095,0.1821046823712043,-0.15920437735674672,4,0.123,ns,ns
E01004048,Southwark 027C,0.3570763968893185,0.4147755970412421,0.2029121038407226,-0.23329664551005933,2,0.061,ns,ns
E01004016,Southwark 029B,0.0556791513431461,0.4593976405068803,0.1446934061515153,3.3757586308875216,3,0.002,LL,LL
E01004061,Southwark 025A,0.2339498128713134,0.462941370627786,0.2475662330618236,-0.008871251068589145,2,0.493,ns,ns
E01003929,Southwark 002B,0.0154470364673443,0.4884607816320754,0.5398052986449458,2.763712824326756,3,0.003,LL,LL
E01003948,Southwark 033D,0.4561444299710826,0.513078007808539,0.1306706068285749,-0.17968949948110077,4,0.022,HL,ns
E01003988,Southwark 018B,0.9989972857026737,0.5788913489346666,0.018450805644656,0.3745906462018201,1,0.38,ns,ns
E01004015,Southwark 028C,0.2703264363594998,0.4936215855864336,0.169246163485547,0.4832832258998418,3,0.052,ns,ns
E01004052,Southwark 024E,0.4615005471925117,0.4766902090185874,0.2241871078151739,0.03456357203117594,1,0.277,ns,ns
E01004062,Southwark 025B,0.4683707822369729,0.5520284558767781,0.1619986346590855,-0.06954313907686058,4,0.2,ns,ns
E01004031,Southwark 007B,0.4607112496541699,0.4666177245042839,0.162232425911552,0.03160414305886821,1,0.292,ns,ns
E01004070,Southwark 031B,0.3750045328036787,0.5222446880265578,0.3504343841470826,-0.031447612382900364,2,0.409,ns,ns
E01004075,Southwark 031E,0.381446084878898,0.5,1.0,0.17077141800819626,3,0.065,ns,ns
E01004069,Southwark 031A,0.2420618575423766,0.4898512548221658,1.0,0.24724503939466233,3,0.271,ns,ns
E01003946,Southwark 033B,0.1865034291310814,0.4321994299587891,0.313027783752443,1.0209676241972703,3,0.072,ns,ns
E01003945,Southwark 033A,0.0908862200151531,0.4624095488186845,0.1400222569272348,1.882012083011705,3,0.009,LL,LL
E01003951,Southwark 033E,0.3392867815645876,0.4804230876281803,0.406544284739042,0.6689745302699931,3,0.004,LL,LL
